protocolType,SETS_setName,OBS_observationRefCd,OBS_descriptorAbbreviation,FIELD_name,FIELD_name_1,sub_market,FIELD_plantingSeason,FIELD_pipeline,OBS_numValue,productName,commercialName
FTN,FTNCOMM2,LDSR,PHYRMA,RCERVA1_NAVOLATO_SATA_FTNC,RCERVA1_NAVOLATO_SATA_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,0.0,DELFIN,DELFIN
FTN,FTNCOMM2,SDP,SRMX,RCERVA1_NAVOLATO_SANP_FTNC,RCERVA1_NAVOLATO_SANP_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,0.0,DELFIN,DELFIN
FTN,FTNCOMM2,SDP,FUSASP,RCERVA1_ANGOSTURA_LARE_FTNC,RCERVA1_ANGOSTURA_LARE_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,0.0,DELFIN,DELFIN
FTN,FTNM1GEOBP,LDSR,SETOTU,IIBANA_GUASAVE_LA17_FTNGEO,IIBANA_GUASAVE_LA17_FTNGEO,WHITE HIGH TIER,2021.0,ME1 PACIFIC,1.0,DELFIN,DELFIN
FTN,FTNCOMM1,YLD,N/A,IIBANA_AHOME_BCHM1_FTNC,IIBANA_AHOME_BCHM1_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,105.258855,DELFIN,DELFIN
FTN,FTNCOMM2,LDSR,DIPDMA,IIBANA_AHOME_BAGO_FTNC,IIBANA_AHOME_BAGO_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,0.0,DELFIN,DELFIN
FTN,FTNCOMM2,LDSR,SETOTU,RCERVA1_NAVOLATO_BACH_FTNC,RCERVA1_NAVOLATO_BACH_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,0.0,DELFIN,DELFIN
FTN,FTNCOMM2,LDSR,DIPDMA,CTCER_CULIACAN_QULA_FTNC,CTCER_CULIACAN_QULA_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,0.0,DELFIN,DELFIN
FTN,FTNCOMM2,LDSR,SETOTU,CTCER_CULIACAN_CTRC_FTNC,CTCER_CULIACAN_CTRC_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,0.0,DELFIN,DELFIN
FTN,FTNPS4COMM,LDSR,PHYRMA,IIBANA_AHOME_BCHM2_FTNC,IIBANA_AHOME_BCHM2_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,0.0,DELFIN,DELFIN
FTN,FTNCOMM1,LDSR,PUCCSO,IIBANA_AHOME_OLAL_FTNC,IIBANA_AHOME_OLAL_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,2.0,DELFIN,DELFIN
FTN,FTNCOMM1,YLD,N/A,IIBANA_AHOME_SNJA_FTNC,IIBANA_AHOME_SNJA_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,141.87,DELFIN,DELFIN
