protocolType,SETS_setName,trait,year_loc,FIELD_name,FIELD_name_1,sub_market,FIELD_plantingSeason,FIELD_pipeline,OBS_numValue,productName,commercialName
FTN,FTNME1HTW,YLD,2023_IIBANA_CAJEME_PUEBLOYAQUI_FTNC_W23,IIBANA_CAJEME_PUEBLOYAQUI_FTNC_W23,IIBANA_CAJEME_PUEBLOYAQUI_FTNC_W23,WHITE HIGH TIER,2023,ME1 PACIFIC,120.350109,MY8509,MY8509
FTN,FTNME1HTW,YLD,2023_IIBANA_CAJEME_PUEBLOYAQUI_FTNC_W23,IIBANA_CAJEME_PUEBLOYAQUI_FTNC_W23,IIBANA_CAJEME_PUEBLOYAQUI_FTNC_W23,WHITE HIGH TIER,2023,ME1 PACIFIC,125.286255,P3270W,P3270W
FTN,FTNME1HTW,YLD,2023_IIBANA_CAJEME_PUEBLOYAQUI_FTNC_W23,IIBANA_CAJEME_PUEBLOYAQUI_FTNC_W23,IIBANA_CAJEME_PUEBLOYAQUI_FTNC_W23,WHITE HIGH TIER,2023,ME1 PACIFIC,79.214843,P3274W,P3274W
FTN,FTNME1HTW,YLD,2023_IIBANA_AHOME_SANJOSEDEAH_FTNC_W23,IIBANA_AHOME_SANJOSEDEAH_FTNC_W23,IIBANA_AHOME_SANJOSEDEAH_FTNC_W23,WHITE HIGH TIER,2023,ME1 PACIFIC,148.762042,DK4050,DK4050
FTN,FTNME1HTW,YLD,2023_IIBANA_AHOME_SANJOSEDEAH_FTNC_W23,IIBANA_AHOME_SANJOSEDEAH_FTNC_W23,IIBANA_AHOME_SANJOSEDEAH_FTNC_W23,WHITE HIGH TIER,2023,ME1 PACIFIC,161.917767,DK5021,DK5021
FTN,FTNME1HTW,YLD,2023_IIBANA_AHOME_SANJOSEDEAH_FTNC_W23,IIBANA_AHOME_SANJOSEDEAH_FTNC_W23,IIBANA_AHOME_SANJOSEDEAH_FTNC_W23,WHITE HIGH TIER,2023,ME1 PACIFIC,164.102564,HIPOPOTAMO,HIPOPOTAMO
FTN,FTNME1HTW,YLD,2023_IIBANA_AHOME_SANJOSEDEAH_FTNC_W23,IIBANA_AHOME_SANJOSEDEAH_FTNC_W23,IIBANA_AHOME_SANJOSEDEAH_FTNC_W23,WHITE HIGH TIER,2023,ME1 PACIFIC,146.758262,CALAMAR,CALAMAR
FTN,FTNME1HTW,YLD,2023_IIBANA_AHOME_SANJOSEDEAH_FTNC_W23,IIBANA_AHOME_SANJOSEDEAH_FTNC_W23,IIBANA_AHOME_SANJOSEDEAH_FTNC_W23,WHITE HIGH TIER,2023,ME1 PACIFIC,163.355567,MX8639,MX8639
FTN,FTNME1HTW,YLD,2023_IIBANA_AHOME_SANJOSEDEAH_FTNC_W23,IIBANA_AHOME_SANJOSEDEAH_FTNC_W23,IIBANA_AHOME_SANJOSEDEAH_FTNC_W23,WHITE HIGH TIER,2023,ME1 PACIFIC,134.435884,VX8614,VX8614
FTN,FTNME1HTW,YLD,2023_IIBANA_AHOME_SANJOSEDEAH_FTNC_W23,IIBANA_AHOME_SANJOSEDEAH_FTNC_W23,IIBANA_AHOME_SANJOSEDEAH_FTNC_W23,WHITE HIGH TIER,2023,ME1 PACIFIC,167.703134,VY8502,VY8502
FTN,FTNME1HTW,YLD,2023_IIBANA_AHOME_SANJOSEDEAH_FTNC_W23,IIBANA_AHOME_SANJOSEDEAH_FTNC_W23,IIBANA_AHOME_SANJOSEDEAH_FTNC_W23,WHITE HIGH TIER,2023,ME1 PACIFIC,142.291865,VY8503,VY8503
