protocolType,SETS_setName,OBS_observationRefCd,OBS_descriptorAbbreviation,FIELD_name,FIELD_name_1,sub_market,FIELD_plantingSeason,FIELD_pipeline,OBS_numValue,productName,commercialName
FTN,FTNME1HTW,YLD,N/A,IIBANA_AHOME_SANJOSEDEAH_FTNC_W23,IIBANA_AHOME_SANJOSEDEAH_FTNC_W23,WHITE HIGH TIER,2023.0,ME1 PACIFIC,163.355567,MX8639,MX8639
FTN,FTNME1HTW,YLD,N/A,IIBANA_AHOME_SANJOSEDEAH_FTNC_W23,IIBANA_AHOME_SANJOSEDEAH_FTNC_W23,WHITE HIGH TIER,2023.0,ME1 PACIFIC,134.435884,VX8614,VX8614
FTN,FTNME1HTW,YLD,N/A,IIBANA_AHOME_SANJOSEDEAH_FTNC_W23,IIBANA_AHOME_SANJOSEDEAH_FTNC_W23,WHITE HIGH TIER,2023.0,ME1 PACIFIC,167.703134,VY8502,VY8502
FTN,FTNME1HTW,YLD,N/A,IIBANA_AHOME_SANJOSEDEAH_FTNC_W23,IIBANA_AHOME_SANJOSEDEAH_FTNC_W23,WHITE HIGH TIER,2023.0,ME1 PACIFIC,142.291865,VY8503,VY8503
FTN,FTNME1HTW,YLD,N/A,IIBANA_AHOME_SANJOSEDEAH_FTNC_W23,IIBANA_AHOME_SANJOSEDEAH_FTNC_W23,WHITE HIGH TIER,2023.0,ME1 PACIFIC,165.117191,MX8432,MX8432
FTN,FTNME1HTW,YLD,N/A,IIBANA_AHOME_SANJOSEDEAH_FTNC_W23,IIBANA_AHOME_SANJOSEDEAH_FTNC_W23,WHITE HIGH TIER,2023.0,ME1 PACIFIC,160.845897,MX8436,MX8436
FTN,FTNME1HTW,YLD,N/A,IIBANA_AHOME_SANJOSEDEAH_FTNC_W23,IIBANA_AHOME_SANJOSEDEAH_FTNC_W23,WHITE HIGH TIER,2023.0,ME1 PACIFIC,167.636002,MX8438,MX8438
FTN,FTNME1HTW,YLD,N/A,IIBANA_AHOME_SANJOSEDEAH_FTNC_W23,IIBANA_AHOME_SANJOSEDEAH_FTNC_W23,WHITE HIGH TIER,2023.0,ME1 PACIFIC,178.854854,MY8509,MY8509
FTN,FTNME1HTW,YLD,N/A,IIBANA_AHOME_SANJOSEDEAH_FTNC_W23,IIBANA_AHOME_SANJOSEDEAH_FTNC_W23,WHITE HIGH TIER,2023.0,ME1 PACIFIC,155.280208,P3270W,P3270W
FTN,FTNME1HTW,YLD,N/A,IIBANA_AHOME_SANJOSEDEAH_FTNC_W23,IIBANA_AHOME_SANJOSEDEAH_FTNC_W23,WHITE HIGH TIER,2023.0,ME1 PACIFIC,178.328323,P3274W,P3274W
